Company,Fuel_Type,CC,HP,Speed,Acceleration,Price,Torque,Seats,Price_Log,Torque_Log,CC_Scaled,HP_Scaled,Speed_Scaled,Acceleration_Scaled
LAMBORGHINI,Petrol,3996.0,641.0,305.0,3.3,242000.0,850.0,5.0,12.396697137361691,6.7464121285733745,0.627685679704455,1.4982834722439202,1.6703454151641004,-1.293581705286354
LAMBORGHINI,Petrol,6498.0,769.0,355.0,2.8,545000.0,720.0,2.0,13.208542908506082,6.580639137284949,1.942757197497716,2.0732648913881007,2.61355337985078,-1.4449691038499815
LAMBORGHINI,Petrol,5204.0,610.0,325.0,3.3,258000.0,560.0,2.0,12.460718739865236,6.329720905522696,1.2626202894143908,1.3590301597949388,2.047628601038772,-1.293581705286354
LAMBORGHINI,Petrol,6498.0,759.0,350.0,2.9,573000.0,720.0,2.0,13.258642740896052,6.580639137284949,1.942757197497716,2.028344468017462,2.519232583382112,-1.4146916241372558
LAMBORGHINI,Petrol,3996.0,671.0,305.0,3.3,263000.0,850.0,5.0,12.479913113434042,6.7464121285733745,0.627685679704455,1.6330447423558374,1.6703454151641004,-1.293581705286354
LAMBORGHINI,Petrol,5204.0,640.0,325.0,3.0,327000.0,565.0,2.0,12.69771850797869,6.338594078203183,1.2626202894143908,1.4937914299068562,2.047628601038772,-1.3844141444245304
LAMBORGHINI,Petrol,6498.0,769.0,355.0,2.8,545000.0,720.0,2.0,13.208542908506082,6.580639137284949,1.942757197497716,2.0732648913881007,2.61355337985078,-1.4449691038499815
LAMBORGHINI,Petrol,5204.0,610.0,325.0,3.3,273000.0,600.0,2.0,12.51723073716405,6.398594934535208,1.2626202894143908,1.3590301597949388,2.047628601038772,-1.293581705286354
LAMBORGHINI,Petrol,6498.0,759.0,350.0,2.9,603000.0,720.0,2.0,13.30967413408274,6.580639137284949,1.942757197497716,2.028344468017462,2.519232583382112,-1.4146916241372558
LAMBORGHINI,Petrol,3998.0,641.0,305.0,3.3,253000.0,850.0,5.0,12.441148720271016,6.7464121285733745,0.6287368959456966,1.4982834722439202,1.6703454151641004,-1.293581705286354
LAMBORGHINI,Petrol,5204.0,640.0,325.0,3.0,342000.0,565.0,2.0,12.742568940017076,6.338594078203183,1.2626202894143908,1.4937914299068562,2.047628601038772,-1.3844141444245304
LAMBORGHINI,Petrol,6498.0,769.0,355.0,2.8,573000.0,720.0,2.0,13.258642740896052,6.580639137284949,1.942757197497716,2.0732648913881007,2.61355337985078,-1.4449691038499815
ROLLS ROYCE,Petrol,6592.0,591.0,250.0,4.8,332000.0,850.0,5.0,12.712893259942282,6.7464121285733745,1.992164360836072,1.2736813553907245,0.6328166540087526,-0.8394195095954718
